ID;Format;Title;Author_1;Author_2;Author_3;Author_4;Author_5;Author_Count;Journal_Name;Journal_Volume;Journal_Issue;Submission_Protocol;IPA;Data_Collection;Submission_Final;Review_Result;Submission_Revised;Submission_Acceptance;Publication;DOI;RR_Files;Additional_Links;Acceptance_Known;Pub_Year
557724;RR;Auditory-visual integration during nonconscious perception;Min Ching, A.S.;Kim, J.;Davis, C.;;;3;Cortex;117;;5-6-2017;15-12-2017;;4-12-2018;29-1-2019;11-2-2019;12-2-2019;1-3-2019;https://doi.org/10.1016/j.cortex.2019.02.014;https://osf.io/sbntf;;TRUE;2019
395491;CR;Sustaining attention for a prolonged period of time increases temporal variability in cortical responses;Reteig, L.C.;van den Brink, R.L.;Prinssen, S.;Cohen, M.X.;Slagter, H.A.;5;Cortex;117;;;;;21-12-2018;30-1-2019;8-2-2019;15-2-2019;1-3-2019;https://doi.org/10.1016/j.cortex.2019.02.016;;;TRUE;2019
309047;CR;Cognitive slowing and its underlying neurobiology in temporal lobe epilepsy;Hwang, G.;Dabbs, K.;Conant, L.;Nair, V.A.;Mathis, J.;17;Cortex;117;;;;;26-7-2018;17-10-2018;6-12-2018;23-2-2019;5-3-2019;https://doi.org/10.1016/j.cortex.2019.02.022;;;TRUE;2019
425823;CR;Altered relationship between prefrontal glutamate and activation during cognitive control in people with high trait anxiety;Morgenroth, E.;Orlov, N.;Lythgoe, D.J.;Stone, J.M.;Barker, H.;8;Cortex;117;;;;;21-9-2018;6-11-2018;6-12-2018;22-2-2019;7-3-2019;https://doi.org/10.1016/j.cortex.2019.02.021;;;TRUE;2019
71171;CR;Neural mechanisms of internal distraction suppression in visual attention;Rajan, A.;Meyyappan, S.;Walker, H.;Samuel, I.B.H.;Ding, M.;6;Cortex;117;;;;;14-7-2018;13-11-2018;12-1-2019;26-2-2019;6-3-2019;https://doi.org/10.1016/j.cortex.2019.02.026;;;TRUE;2019
657791;CR;Oscillatory neural networks underlying resting-state, attentional control and social cognition task conditions in children with ASD, ADHD and ASD+ADHD;Shephard, E.;Tye, C.;Ashwood, K.L.;Azadi, B.;Johnson, M.H.;9;Cortex;117;;;;;9-11-2018;21-1-2019;26-2-2019;6-3-2019;19-3-2019;https://doi.org/10.1016/j.cortex.2019.03.005;;;TRUE;2019
11945;CR;Developmental frontal brain activation differences in overcoming heuristic bias;Mevel, K.;Borst, G.;Poirel, N.;Simon, G.;de Neys, W.;8;Cortex;117;;;;;26-11-2018;27-12-2018;4-2-2019;8-3-2019;1-8-2019;https://doi.org/10.1016/j.cortex.2019.03.004;;;TRUE;2019
9172;CR;Intonation guides sentence processing in the left inferior frontal gyrus;van der Burght, C.L.;Goucha, T.;Friederici, A.D.;Kreitewolf, J.;Hartwigsen, G.;5;Cortex;117;;;;;16-7-2018;9-11-2018;22-12-2018;27-2-2019;27-2-2019;https://doi.org/10.1016/j.cortex.2019.02.011;;;TRUE;2019
393331;CR;Motor preparation for compensatory reach-to-grasp responses when viewing a wall-mounted safety handle;Bolton, D.A.E.;Cole, D.M.;Butler, B.;Mansour, M.;Rydalch, G.;7;Cortex;117;;;;;5-2-2019;7-2-2019;7-2-2019;4-3-2019;21-3-2019;https://doi.org/10.1016/j.cortex.2019.03.001;;;TRUE;2019
963231;CR;Checking and washing rituals are reflected in altered cortical thickness in obsessive-compulsive disorder;Wagner, G.;Kohler, S.;Peikert, G.;de la Cruz, F.;Reess, T.J.;9;Cortex;117;;;;;3-7-2018;5-11-2018;13-12-2018;18-3-2019;26-3-2019;https://doi.org/10.1016/j.cortex.2019.03.012;;;TRUE;2019
329719;CR;Action at a distance on object-related ventral temporal representations;Lee, D.;Mahon, B.Z.;Almeida, J.;;;3;Cortex;117;;;;;13-9-2018;15-11-2018;7-1-2019;23-2-2019;4-3-2019;https://doi.org/10.1016/j.cortex.2019.02.018;;;TRUE;2019
767751;CR;Both dorsal and ventral attention network nodes are implicated in exogenously driven visuospatial anticipation;Ahrens, M.M.;Veneiro, D.;Freund, I.M.;Harvey, M.;Thut, G.;5;Cortex;117;;;;;12-10-2018;27-11-2018;28-1-2019;18-2-2019;13-3-2019;https://doi.org/10.1016/j.cortex.2019.02.031;;;TRUE;2019
754721;CR;The importance of stimulus variability when studying face processing using fast periodic visual stimulation: A novel ?mixed-emotions? paradigm;Coll, M.P.;Murphy, J.;Catmur, C.;Bird, G.;Brewer, R.;5;Cortex;117;;;;;23-8-2018;26-10-2018;7-11-2018;5-3-2019;19-3-2019;https://doi.org/10.1016/j.cortex.2019.03.006;;;TRUE;2019
552646;CR;Laterality for recognizing written words and faces in the fusiform gyrus covaries with language dominance;Gerrits, R.;van der Haegen, L.;Brysbaert, M.;Vingerhoets, G.;;4;Cortex;117;;;;;9-10-2018;27-11-2018;19-12-2018;13-3-2019;26-3-2019;https://doi.org/10.1016/j.cortex.2019.03.010;;;TRUE;2019
433577;CR;Steady-state visual evoked potentials reveal enhanced neural responses to illusory surfaces during a concurrent visual attention task;Wittenhagen, L.;Mattingley, J.B.;;;;2;Cortex;117;;;;;24-5-2018;6-8-2018;30-11-2018;15-3-2019;26-3-2019;https://doi.org/10.1016/j.cortex.2019.03.014;;;TRUE;2019
200994;CR;Neural organization of speech production: A lesion-based study of error patterns in connected speech;Stark, B.C.;Basilakos, A.;Hickok, G.;Rorden, C.;Bonilha, L.;6;Cortex;117;;;;;30-5-2018;24-7-2018;14-10-2018;26-2-2019;7-3-2019;https://doi.org/10.1016/j.cortex.2019.02.029;;;TRUE;2019
121526;CR;No evidence for altered up- and downregulation of brain activity in visual cortex during illusory shape perception in autism;Utzerath, C.;Schmits, I.C.;Kok, P.;Buitelaar, J.;de Lange, F.P.;5;Cortex;117;;;;;17-9-2018;26-10-2018;24-1-2019;12-3-2019;26-3-2019;https://doi.org/10.1016/j.cortex.2019.03.011;;;TRUE;2019
432848;CR;Unraveling corticobasal syndrome and alien limb syndrome with structural brain imaging;Albrecht, F.;Mueller, K.;Ballarini, T.;Lampe, L.;Diehl-Schmidt, J.;23;Cortex;117;;;;;10-8-2018;25-9-2018;3-12-2018;15-2-2019;25-2-2019;https://doi.org/10.1016/j.cortex.2019.02.015;;;TRUE;2019
622326;CR;Episodic memory and learning rates in amyotrophic lateral sclerosis without dementia;Barulli, M.R.;Piccininni, M.;di Bio, C.;Musaro, C.;Panza, F.;13;Cortex;117;;;;;1-2-2018;11-6-2018;1-8-2018;9-3-2019;19-3-2019;https://doi.org/10.1016/j.cortex.2019.03.003;;;TRUE;2019
241440;CR;The effect of frontoparietal paired associative stimulation on decision-making and working memory;Nord, C.L.;Popa, T.;Smith, E.;Hannah, R.;Donamayor, N.;9;Cortex;117;;;;;10-12-2018;14-1-2019;29-1-2019;13-3-2019;28-3-2019;https://doi.org/10.1016/j.cortex.2019.03.015;;;TRUE;2019
120230;CR;Differential language network functional connectivity alterations in Alzheimers disease and the semantic variant of primary progressive aphasia;Montembeault, M.;Chapleau, M.;Jarret, J.;Boukadi, M.;Laforce, R.;8;Cortex;117;;;;;4-7-2018;29-9-2018;21-1-2019;21-3-2019;3-4-2019;https://doi.org/10.1016/j.cortex.2019.03.018;;;TRUE;2019
554235;CR;Emotional disturbances in multiple sclerosis: A neuropsychological and fMRI study;Pfaff, L.;Lamy, J.;Noblet, V.;Gounot, D.;Chanson, J.B.;7;Cortex;117;;;;;30-12-2017;20-2-2018;2-8-2018;20-2-2019;1-3-2019;https://doi.org/10.1016/j.cortex.2019.02.017;;;TRUE;2019
862076;RR;Violent video game engagement is not associated with adolescents aggressive behaviour: evidence from a registered report;Przybylski, A.K.;Weinstein, N.;;;;2;Royal Society Open Science;6;2;26-9-2017;;;26-9-2018;;;18-1-2019;13-2-2019;https://doi.org/10.1098/rsos.171474;https://osf.io/rkw6z/;;TRUE;2019
257760;CR;Generalizability is not optional: insights from a cross-cultural study of social discounting;Tiokhin, L.;Hackman, J.;Munira, S.;Jesmin, K.;Hruschka, D.;5;Royal Society Open Science;6;2;;;;21-8-2018;;;5-2-2019;27-2-2019;https://doi.org/10.1098/rsos.181386;;;TRUE;2019
385075;CR;Language structure is influenced by the number of speakers but seemingly not by the proportion of non-native speakers;Koplenig, A.;;;;;1;Royal Society Open Science;6;2;;;;1-8-2018;;;29-1-2019;27-2-2019;https://doi.org/10.1098/rsos.181274;;;TRUE;2019
254264;RR;The ecological roots of human susceptibility to social influence: a pre-registered study investigating the impact of early-life adversity;Jacquet, P.O.;Safra, L.;Wyart, V.;Baumard, N.;Chevallier, C. ;5;Royal Society Open Science;6;1;20-3-2018;23-3-2018;;31-7-2018;;;30-11-2018;9-1-2019;https://doi.org/10.1098/rsos.180454;https://osf.io/6etf3/;;TRUE;2019
583475;CR;Prefrontal brain stimulation during food-related inhibition training: effects on food craving, food consumption and inhibitory control;Sedgmont, J.;Lawrence, N.S.;Verbruggen, F.;Morrison, S.;Chambers, C.D.;6;Royal Society Open Science;6;1;;;;31-7-2018;;;30-11-2018;9-1-2019;https://doi.org/10.1098/rsos.181186;;;TRUE;2019
12481;CR;Orientation-invariance of individual differences in three face processing tasks;Meinhardt, G.;Meinhardt-Injac, B.;Persike, M.;;;3;Royal Society Open Science;6;1;;;;15-8-2018;;;21-11-2018;9-1-2019;https://doi.org/10.1098/rsos.181350;;;TRUE;2019
160483;CR;The processing of task-irrelevant emotion and colour in the Approach-Avoidance Task;Luo, X.;Rinck, M.;Bekkering, H.;Becker, E.S.;;4;Cognition and Emotion;33;3;;;;8-3-2017;;;10-4-2018;9-7-2018;https://doi.org/10.1080/02699931.2018.1497951;;;TRUE;2018
938624;CR;Tracking hand movements captures the response dynamics of the evaluative priming effect;Kawakami, N.;Miura, E.;;;;2;Cognition and Emotion;33;3;;;;10-7-2017;;;27-3-2018;8-6-2018;https://doi.org/10.1080/02699931.2018.1483897;;;TRUE;2018
646636;CR;Emotions as guardians of group norms: expressions of anger and disgust drive inferences about autonomy and purity violations;Heerdink, M.W.;Koning, L.F.;van Doorn, E.A.;van Kleef, G.A.;;4;Cognition and Emotion;33;3;;;;11-9-2017;;;9-5-2018;18-5-2018;https://doi.org/10.1080/02699931.2018.1476324;;;TRUE;2018
743605;CR;Happy but overconfident: positive affect leads to inaccurate metacomprehension;Prinz, A.;Bergmann, V.;Wittwer, J.;;;3;Cognition and Emotion;33;3;;;;17-8-2017;;;30-4-2018;14-5-2018;https://doi.org/10.1080/02699931.2018.1472553;;;TRUE;2018
282575;CR;Looking into your eyes: observed pupil size influences approach-avoidance responses;Brambilla, M.;Biella, M.;Kret, M.E.;;;3;Cognition and Emotion;33;3;;;;24-9-2017;;;30-4-2018;11-5-2018;https://doi.org/10.1080/02699931.2018.1472554;;;TRUE;2018
178390;CR;The fit between emotion regulation choice and individual resources is associated with adaptive functioning among young children;Ilan, S.D.;Tamuz, N.;Gheppes, G.;;;3;Cognition and Emotion;33;3;;;;24-6-2017;;;23-4-2018;7-5-2018;https://doi.org/10.1080/02699931.2018.1470494;;;TRUE;2018
764891;RR;A closer look at the size of the gaze-liking effect: a preregistered replication;Tipples, J.;Pecchinenda, A.;;;;2;Cognition and Emotion;33;3;6-11-2017;;;;;;20-4-2018;30-4-2018;https://doi.org/10.1080/02699931.2018.1468732;https://osf.io/n8e65/;;TRUE;2018
850607;CR;The negative feedback dysregulation effect: losses of motor control in response to negative feedback;Klein, R.J.;Robinson, M.D.;;;;2;Cognition and Emotion;33;3;;;;11-10-2017;;;4-4-2018;19-4-2018;https://doi.org/10.1080/02699931.2018.1463197;;;TRUE;2018
641050;CR;Motivated emotion and the rally around the flag effect: liberals are motivated to feel collective angst (like conservatives) when faced with existential threat;Porat, R.;Tamir, M.;Wohl, M.J.A.;Gur, T.;Halperin, E.;5;Cognition and Emotion;33;3;;;;23-3-2017;;;28-3-2018;18-4-2018;https://doi.org/10.1080/02699931.2018.1460321;;;TRUE;2018
224508;CR;The impact of contextual priors and anxiety on performance effectiveness and processing efficiency in anticipation;Broadbent, D.P.;Viktor Gredin, N.;Rye, J.L.;Mark Williams, A.;Bishop, D.T.;5;Cognition and Emotion;33;3;;;;13-11-2017;;;26-3-2018;18-4-2018;https://doi.org/10.1080/02699931.2018.1464434;;;TRUE;2018
67362;CR;Talking emotions: vowel selection in fictional names depends on the emotional valence of the to-be-named faces and objects;Rummer, R.;Schweppe, J.;;;;2;Cognition and Emotion;33;3;;;;3-1-2017;;;19-3-2018;16-4-2018;https://doi.org/10.1080/02699931.2018.1456406;;;TRUE;2018
347996;CR;Manipulations of distractor frequency do not mitigate emotion-induced blindness;Zhao, J.L.;Most, S.B.;;;;2;Cognition and Emotion;33;3;;;;23-11-2017;;;27-3-2018;12-4-2018;https://doi.org/10.1080/02699931.2018.1459490;;;TRUE;2018
375223;CR;Terror in time: extending culturomics to address basic terror management mechanisms;Dechesne, M.;Bandt-Law, B.;;;;2;Cognition and Emotion;33;3;;;;14-6-2017;;;28-3-2018;11-4-2018;https://doi.org/10.1080/02699931.2018.1460322;;;TRUE;2018
977331;CR;Cognitive reappraisal attenuates the association between depressive symptoms and emotional response to stress during adolescence;Shapero, B.G.;Stange, J.P.;Anne McArthur, B.;Abramson, L.Y.;Alloy, L.B.;5;Cognition and Emotion;33;3;;;;19-12-2017;;;3-4-2018;11-4-2018;https://doi.org/10.1080/02699931.2018.1462148;;;TRUE;2018
833853;CR;Factor analysis and validation of a self-report measure of impaired fear inhibition;Barry, T.J.;Baker, H.M.;Chiu, C.H.M.;Lo, B.C.Y.;Lau, J.Y.F.;5;Cognition and Emotion;33;3;;;;29-6-2017;;;28-3-2018;9-4-2018;https://doi.org/10.1080/02699931.2018.1461064;;;TRUE;2018
222983;CR;Trait rumination and response to negative evaluative lab-induced stress: neuroendocrine, affective, and cognitive outcomes;Vrshek-Schallhorn, S.;Velkoff, E.A.;Zinbarg, R.E.;;;3;Cognition and Emotion;33;3;;;;17-4-2017;;;28-3-2018;6-4-2018;https://doi.org/10.1080/02699931.2018.1459486;;;TRUE;2018
